feature,sel_freq,mean_abs_coef,coef_at_Cstar,is_flag,cohens_d,t_p_fdr,mw_p_fdr,univariate_rank
S354,0.095,0.0032528242942033835,0.0,False,-0.2326004669000055,0.2862722176550626,0.2237621126044014,76.66666666666667
S200,0.09,0.0022840904403420553,0.0,False,0.16314137300334486,0.49773547200819346,0.5385549770429117,130.66666666666666
S175,0.085,0.0032405297755211553,0.0,False,0.1747230694676959,0.3854201783609958,0.33249393708693126,113.33333333333333
S571,0.085,0.0018501096128173908,0.0,False,-0.0471821385465835,0.9346524478001572,0.7653515936395213,330.3333333333333
S090,0.08,0.0022235541792534137,0.0,False,-0.24109207578031006,0.14420757396509773,0.2065059713819274,52.0
S511,0.065,0.0021289611351164818,0.0,False,0.1721381628794454,0.4860039827775739,0.5216102277294701,123.33333333333333
S491,0.065,0.0014724120878110455,0.0,False,0.18330377603488235,0.45363494930696885,0.30979423339131673,113.33333333333333
S188,0.065,0.0008271946987642663,0.0,False,0.22056951777376,0.2862722176550626,0.28102019015258095,81.0
S171,0.055,0.001586780866342467,0.0,False,0.15984172727130647,0.5825124489929981,0.6278379663738051,139.0
S121,0.055,0.0011305345152279646,0.0,False,0.16384142792866505,0.3854201783609958,0.5908035446519494,119.66666666666667
S205,0.05,0.002857237157795908,0.0,False,0.5493813148824173,0.011224467830817132,0.003648947000355185,5.666666666666667
S425,0.045,0.003960839056219836,0.0,False,0.3878728445521612,0.18300170292724355,0.07165883784203973,26.0
S304,0.045,0.0013474174696231085,0.0,False,0.04148442425126321,0.9179959505019263,0.9621108787713828,337.0
S349,0.045,0.00105018861136711,0.0,False,0.12584269013940103,0.7174293155084572,0.9589431191073129,188.0
S019,0.045,0.0008984200613394423,0.0,False,0.14609667213750896,0.3854201783609958,0.9621108787713828,131.66666666666666
S575,0.045,0.000586819026395826,-0.018405634268113015,False,-0.18065040368965918,0.10513026971897535,0.6681178499077132,79.0
S343,0.045,0.0005341785589131926,0.0,False,0.12390945232504398,0.6878302742412461,0.9589431191073129,180.66666666666666
S582,0.04,0.0014138114194978176,0.0,False,0.11740004574788133,0.7174293155084572,0.6082260511119911,193.0
S122,0.035,0.001528134669393392,0.0,False,-0.3254009531024359,0.01281037616711946,0.10278874061515873,31.333333333333332
S247,0.035,0.000508127621361534,0.0,False,0.3703685150818098,0.10103267375697465,0.00016565634237424509,24.333333333333332
S010,0.035,0.00043010883657030013,0.0,False,0.18874424505268667,0.46872104505663564,0.19557462620177787,110.0
S145,0.03,0.001349311637232217,0.0,False,-0.22135986458480808,0.06274564849637497,0.37452497295767595,58.0
S480,0.03,0.0009555274286426815,0.0,False,-0.03479650218263553,0.9362523713318748,0.9621108787713828,346.6666666666667
S469,0.03,0.00041038489407284784,0.0,False,0.3244039592379036,0.16080492213653222,0.1017206494249429,39.666666666666664
S118,0.025,0.000999728817792337,0.0,False,-0.13773822702506577,0.6332319058206677,0.5216102277294701,154.33333333333334
S433,0.025,0.0006817666685567529,0.0,False,0.116791342774166,0.7161811368821839,0.7537539708886227,189.0
S128,0.025,0.0006693448184186566,0.0,False,0.2396095366213991,0.1972930067535966,0.1074112547053511,60.666666666666664
S134,0.025,0.0004284817098029071,0.0,False,-0.1069816279103141,0.7174293155084572,0.637522455485341,205.0
S563,0.025,0.0003809963729167811,0.0,False,-0.06658165535894502,0.7235685938302242,0.9621108787713828,269.3333333333333
S353,0.025,0.00027355211470858094,0.0,False,-0.06090923462748708,0.8617747838003998,0.9589431191073129,292.3333333333333
S485,0.02,0.0009391826461386285,0.0,False,-0.14991847954241141,0.4860039827775739,0.6082260511119911,138.0
S357,0.02,0.0008840988118343525,0.0,False,0.19404694050070648,0.3854201783609958,0.2175628460514725,98.0
S104,0.02,0.0004559021120488706,0.0,False,-0.08355328183757776,0.7710574402653289,0.9621108787713828,256.3333333333333
S475,0.02,0.0003494796014535419,0.0,False,0.03334026962811096,0.9591619585345343,0.9594017219140961,357.0
S028,0.02,0.0003291149285542971,0.0,False,-0.4116487455961851,0.01105234943652184,0.015133984711733333,11.0
S455,0.02,0.00032614719470217354,0.0,False,0.09850678725108537,0.7174293155084572,0.7819970686024711,226.0
S416,0.02,0.0002657579360274492,0.0,False,-0.17621226772471893,0.3453749766810067,0.5556593676899914,106.33333333333333
S446,0.015,0.00100058378976388,0.0,False,0.16898505637763453,0.40519439436504084,0.3512470179645206,119.33333333333333
S249,0.015,0.0006462263729609362,0.0,False,0.3125171085296187,0.5230858328634684,0.37452497295767595,77.66666666666667
S484,0.015,0.0006252535292889716,0.0,False,-0.15884926472626418,0.4050440187999233,0.6681178499077132,129.0
S281,0.015,0.0005442782539124966,0.0,False,-0.07763435725732701,0.7174293155084572,0.9621108787713828,249.33333333333334
S588,0.015,0.000535431501976722,0.0,False,0.2386310689123045,0.2862722176550626,0.2934762600130448,73.33333333333333
S417,0.015,0.0004789876675944041,0.0,False,-0.1315310378287164,0.6536616820557524,0.3845573726075882,163.0
S569,0.015,0.00043106638562875996,0.0,False,0.11085779792881104,0.7174293155084572,0.853976659389315,215.33333333333334
S077,0.015,0.000315274703670991,0.0,False,0.046616273549271205,0.9078261069381366,0.8939578246176355,327.0
S142,0.015,0.00030944912754587246,0.0,False,-0.08095769544258861,0.7725377024783234,0.9589431191073129,260.6666666666667
S089,0.015,0.00028976247547012426,0.0,False,-0.17541872614257575,0.6172344273925053,0.12761124313182787,127.0
S161,0.015,0.000264944408346866,0.0,False,-0.15663986704746566,0.2862722176550626,0.9621108787713828,120.0
S127,0.015,0.00024057511658583954,0.0,False,-0.2838383607152904,0.045073165539598246,0.23080510562177048,38.666666666666664
S316,0.015,0.000234252261376709,0.0,False,-0.253895615832815,0.18799130636377842,0.20986925006696375,53.0
S225,0.015,0.0002316117932442177,0.0,False,-0.041857163662351364,0.9024852209886927,0.9798482112953504,331.6666666666667
S344,0.015,0.00015591491820109225,0.0,False,-0.07549609778413907,0.7725377024783234,0.931071313734607,265.6666666666667
S539,0.015,0.00014690032902282517,0.0,False,0.027730764074702235,0.9591619585345343,0.9621108787713828,365.6666666666667
S197,0.015,9.985135527656517e-05,0.0,False,0.3318990381615201,0.14420757396509773,0.08071130911812664,37.0
S032,0.015,9.429243883044603e-05,0.0,False,0.2296168101179203,0.5579786042948068,0.6267950516610133,98.0
S095,0.015,7.885141571424719e-05,0.0,False,0.2797880694191235,0.1947087372680927,0.1074112547053511,50.666666666666664
S479,0.01,0.0008795115060104782,0.0,False,0.1313469692737016,0.6536616820557524,0.853976659389315,165.0
S131,0.01,0.0005971605534219561,0.0,False,0.07569811359523873,0.8023256021830227,0.9886654202388973,267.0
S437,0.01,0.000530015142697171,0.0,False,0.1899099014075066,0.5063031660836392,0.7819970686024711,113.0
S587,0.01,0.0004522489207507018,0.0,False,0.22928802152535907,0.3099379171486742,0.2574910571671461,81.33333333333333
S211,0.01,0.0002435427284578197,0.0,False,0.12787612472280385,0.7174293155084572,0.9594017219140961,184.0
S431,0.01,0.00023565029189672338,0.0,False,0.5013304622338898,0.1897369705316675,0.10278874061515873,19.333333333333332
S493,0.01,0.00022745807048621405,0.0,False,0.019621683073617707,0.9692496673478536,0.9621108787713828,389.6666666666667
S302,0.01,0.00020989826906169594,0.0,False,0.026043830960056368,0.9591619585345343,0.9621108787713828,372.0
S282,0.01,0.00019141693666627191,0.0,False,0.28785835241725927,0.14420757396509773,0.058567685883312404,42.333333333333336
S377,0.01,0.00019058904394847421,0.0,False,-0.24379756327040167,0.1972930067535966,0.19557462620177787,57.0
S392,0.01,0.0001486627385459402,0.0,False,-0.07934620738913506,0.7605387183571499,0.931071313734607,259.6666666666667
S238,0.01,0.00012095314346584224,0.0,False,0.13811377170871258,0.6380002881289989,0.637522455485341,154.0
S050,0.01,0.00011251698297967202,0.0,False,0.12404871115250195,0.6536616820557524,0.6565890307536927,176.33333333333334
S489,0.01,0.00011248328293681357,0.0,False,0.05595721124320178,0.8808855514889968,0.9621108787713828,302.3333333333333
S312,0.01,9.567674683780404e-05,0.0,False,0.005237707871686515,0.9858143630732036,0.9953315404098076,425.3333333333333
S081,0.01,9.163627633945794e-05,0.0,False,0.0009585288842582117,0.9986971793640421,0.9621108787713828,433.0
S277,0.01,8.626448906137431e-05,0.0,False,-0.07228613830726949,0.8023256021830227,0.9621108787713828,272.0
S467,0.01,8.337909649260879e-05,0.0,False,0.15478831556263004,0.7235685938302242,0.9781177511864033,175.66666666666666
S195,0.01,7.008286166520103e-05,0.0,False,0.15298091178665607,0.7235685938302242,0.9621108787713828,176.0
S022,0.005,0.0004943441465645605,0.0,False,-0.33699205133392107,0.27995440904831165,0.5982778973680467,51.333333333333336
S307,0.005,0.0003603821652088499,0.0,False,0.1775534798110024,0.2949362010879123,0.3845573726075882,103.33333333333333
S170,0.005,0.00029956764491262535,0.0,False,0.1622575074047122,0.5732820355752432,0.6279208407676334,136.33333333333334
S296,0.005,0.0002118136824429337,0.0,False,-0.1455135703293677,0.34902770726101595,0.9621108787713828,129.66666666666666
S362,0.005,0.00021011966481526232,0.0,False,-0.016725268801276012,0.9738630098526588,0.6187102614019213,396.6666666666667
S217,0.005,0.00020610131466592562,0.0,False,0.05376569852759775,0.8619388297120949,0.9467726424633036,306.0
S227,0.005,0.00020454404336593595,0.0,False,0.16567980913097413,0.5646102508205018,0.37452497295767595,131.33333333333334
S146,0.005,0.000199141898961675,0.0,False,-0.059033504831842325,0.8076443859575326,0.9621108787713828,290.6666666666667
S082,0.005,0.0001696639023849912,0.0,False,-0.11629416351725051,0.7161811368821839,0.8965693580809547,190.0
S430,0.005,0.00016956288219476223,0.0,False,0.4654154456343955,0.23468312691256824,0.3359304375986326,25.0
S212,0.005,0.00016829223529915197,0.0,False,0.09810085371758881,0.7174293155084572,0.6500854486923523,227.0
S429,0.005,0.00015008166620783143,0.0,False,0.04233763469355009,0.9179959505019263,0.9981297878796539,334.6666666666667
S041,0.005,0.000147596374223646,0.0,False,0.13361851725568957,0.7146017683890232,0.9621108787713828,167.33333333333334
S009,0.005,0.00013762247469676687,0.0,False,-0.08900422471427308,0.7192569039974409,0.9589431191073129,242.0
S100,0.005,0.00013320130904439947,0.0,False,0.1094399993805764,0.7174293155084572,0.9229717341677359,210.0
S156,0.005,0.00013184683159816104,0.0,False,0.041409770495330525,0.9179959505019263,0.9997549396282154,337.6666666666667
S418,0.005,0.0001267926689163865,0.0,False,-0.0591404700284069,0.8617747838003998,0.9589431191073129,298.0
S496,0.005,0.00012136398193989376,0.0,False,-0.03758107153398978,0.9203053152179257,0.9467726424633036,341.3333333333333
S058,0.005,0.00012043502643419237,0.0,False,0.17671863836706098,0.37055275261579484,0.4694275562898961,108.33333333333333
S124,0.005,0.00011659969577020915,0.0,False,0.21458225770062683,0.2528740702500216,0.2497855307997911,77.66666666666667
S565,0.005,0.00011462034515321498,0.0,False,0.08601577408702843,0.8023256021830227,0.9621108787713828,254.66666666666666
S053,0.005,0.00010533757511322722,0.0,False,-0.10271124192928482,0.7174293155084572,0.8859470103097058,216.0
S368,0.005,8.38034561940843e-05,0.0,False,0.07249894995292586,0.8185806208972929,0.4564418621839199,275.0
S215,0.005,8.019925762572617e-05,0.0,False,-0.04806668851618599,0.9024852209886927,0.9594017219140961,321.0
S319,0.005,7.92726805868175e-05,0.0,False,0.06980953688397365,0.8185806208972929,0.8859470103097058,277.3333333333333
S279,0.005,7.292987718510172e-05,0.0,False,-0.10901788816349464,0.7174293155084572,0.39091581758706023,209.0
S088,0.005,7.023439064294867e-05,0.0,False,0.07556741474948502,0.7766098947103034,0.931071313734607,265.6666666666667
S106,0.005,6.839130489063938e-05,0.0,False,-0.17498005422961518,0.36353941131455225,0.703591118029614,110.33333333333333
S355,0.005,6.788756458064513e-05,0.0,False,0.04318364153401663,0.9070835971755601,0.9621108787713828,331.3333333333333
S278,0.005,4.581368559864066e-05,0.0,False,-0.15911836659376405,0.41418384920699486,0.6487903181278183,128.66666666666666
S311,0.005,4.404084861192044e-05,0.0,False,-0.10746618112236524,0.7174293155084572,0.7623519505291667,208.33333333333334
S136,0.005,4.194349114760875e-05,0.0,False,0.006342692889081926,0.9853458227156996,0.991899562474813,422.0
S415,0.005,4.011378644515527e-05,0.0,False,-0.0950814476527298,0.7174293155084572,0.9589431191073129,232.33333333333334
S011,0.005,3.722665040016911e-05,0.0,False,-0.2805474417090235,0.1712152177411397,0.1074112547053511,46.333333333333336
S361,0.005,2.7977519824140777e-05,0.0,False,-0.06581841352609631,0.8595818897439244,0.9621108787713828,283.6666666666667
S196,0.005,2.193679671055107e-05,0.0,False,0.11265044925594883,0.7174293155084572,0.9229717341677359,210.0
S332,0.005,1.9369047522968823e-05,0.0,False,0.10967736424654609,0.7235685938302242,0.9621108787713828,220.33333333333334
S250,0.005,1.6859790703971095e-05,0.0,False,-0.014300671735246377,0.9715925549597902,0.9621108787713828,401.0
S168,0.005,1.650469371125102e-05,0.0,False,0.028807308464076392,0.9591619585345343,0.99571977584834,362.6666666666667
S040,0.005,1.5366935515902692e-05,0.0,False,-0.18830998916328281,0.4167446608382851,0.058567685883312404,108.33333333333333
S391,0.005,1.3082373909737817e-05,0.0,False,-0.02380767688436915,0.9591619585345343,0.9589431191073129,379.0
S295,0.005,1.0810834997098211e-05,0.0,False,0.38108153897330366,0.18799130636377842,0.1074112547053511,28.666666666666668
S549,0.005,1.0311584715726126e-05,0.0,False,-0.0004833264194988132,0.9986971793640421,0.8901750084805492,435.0
S331,0.005,9.19746149672192e-06,0.0,False,0.11157560081167282,0.8230684479889618,0.9621108787713828,228.66666666666666
S086,0.005,8.806218914196553e-06,0.0,False,0.08256904330435669,0.7192569039974409,0.9589431191073129,251.0
S283,0.005,3.0169079449430288e-06,0.0,False,-0.01651631580505532,0.9738630098526588,0.9621108787713828,398.6666666666667
